ID,AdminCode,RoadRank,RoadType,RoadNo,LinkType,MaxSpeed,LaneNo,R_LinkID,L_LinkID,FromNodeID,ToNodeID,SectionID,Length,ITSLinkID,Maker,UpdateDate,Version,Remark,HistType,HistRemark
A219BS010396,"233","9","1",,"6","0","1",,,A119BS010246,A119BS010173,A319BS010005,27.24,,새한항업컨소시엄,"20181129","2019",,,
A219BS010398,"233","9","1",,"6","0","1",,,A119BS010266,A119BS010247,,29.32,,새한항업컨소시엄,"20181129","2019",,,
A219BS010399,"233","9","1",,"6","0","1",,,A119BS010696,A119BS010697,,25.43,,새한항업컨소시엄,"20181129","2019",,,
A219BS010400,"233","9","1",,"6","0","1",,,A119BS010231,A119BS010158,,117.12,,새한항업컨소시엄,"20181129","2019",,,
A219BS010402,"233","9","1",,"6","0","2",,A219BS010401,A119BS010698,A119BS010699,,21.99,,새한항업컨소시엄,"20181129","2019",,,
A219BS010404,"233","9","1",,"6","0","2",A219BS010405,A219BS010403,A119BS010699,A119BS010702,,86.67,,새한항업컨소시엄,"20181129","2019",,,
A219BS010405,"233","9","1",,"6","0","3",,A219BS010404,A119BS010700,A119BS010703,,88.20,,새한항업컨소시엄,"20181129","2019",,,
A219BS010406,"233","9","1",,"6","60","1",,,A119BS010280,A119BS010189,,77.60,,새한항업컨소시엄,"20181129","2019",,,
A219BS010408,"233","9","1",,"6","60","2",A219BS010409,,A119BS010704,A119BS010283,,33.59,,새한항업컨소시엄,"20181129","2019",,,
A219BS010409,"233","9","1",,"6","60","3",,A219BS010408,A119BS010705,A119BS010706,,33.79,,새한항업컨소시엄,"20181129","2019",,,
A219BS010411,"233","9","1",,"6","60","2",A219BS010412,,A119BS010283,A119BS010709,,10.76,,새한항업컨소시엄,"20181129","2019",,,
A219BS010412,"233","9","1",,"6","60","3",,A219BS010411,A119BS010706,A119BS010710,,10.74,,새한항업컨소시엄,"20181129","2019",,,
A219BS010414,"233","9","1",,"6","60","2",A219BS010415,A219BS010413,A119BS010709,A119BS010223,,8.97,,새한항업컨소시엄,"20181129","2019",,,
A219BS010415,"233","9","1",,"6","60","3",A219BS010416,A219BS010414,A119BS010709,A119BS010221,,8.29,,새한항업컨소시엄,"20181129","2019",,,
A219BS010416,"233","9","1",,"6","60","4",,A219BS010415,A119BS010710,A119BS010711,,8.34,,새한항업컨소시엄,"20181129","2019",,,
A219BS010418,"233","9","1",,"6","60","2",A219BS010419,A219BS010417,A119BS010223,A119BS010713,,28.68,,새한항업컨소시엄,"20181129","2019",,,
A219BS010419,"233","9","1",,"6","60","3",A219BS010420,A219BS010418,A119BS010221,A119BS010714,,28.81,,새한항업컨소시엄,"20181129","2019",,,
A219BS010420,"233","9","1",,"6","60","4",,A219BS010419,A119BS010711,A119BS010715,,28.95,,새한항업컨소시엄,"20181129","2019",,,
A219BS010421,"233","9","1",,"6","0","1",A219BS010422,,A119BS010216,A119BS010273,,23.25,,새한항업컨소시엄,"20181129","2019",,,
A219BS010422,"233","9","1",,"6","0","2",,A219BS010421,A119BS010284,A119BS010275,,22.98,,새한항업컨소시엄,"20181129","2019",,,
A219BS010423,"233","9","1",,"6","60","2",,A219BS010078,A119BS010289,A119BS010293,,14.62,,새한항업컨소시엄,"20180430","2019",,,
