X,Y
302584.571172965,4123938.78221112
302585.340888446,4123940.62815813
302586.096435046,4123942.47983014
302586.818364079,4123944.3449891997
302587.544448586,4123946.20853243
302588.272486322,4123948.07131542
302588.97516473697,4123949.94357423
302589.648205987,4123951.82692641
302590.291791529,4123953.72053439
302590.92966453,4123955.61605118
302591.53955054603,4123957.52079238
302592.124083648,4123959.43332885
302592.683415627,4123961.35352356
302593.243426457,4123963.27352039
302593.779802658,4123965.20022654
302594.288181485,4123967.1338862
302594.696696044,4123969.09172068
302595.066753846,4123971.05679244
302595.367190128,4123973.0340982
302595.623780035,4123975.01737628
302595.853631036,4123977.00400703
302596.034915728,4123978.99577405
302596.179310676,4123980.99051447
302596.31143809896,4123982.98609106
302596.415587029,4123984.98337747
302596.51645143,4123986.98083127
302596.60653887,4123988.9787944998
302596.636,4123989.653
302596.39060471,4123991.63789111
302596.144823914,4123993.62273156
302595.522481245,4123995.49407259
302594.630006644,4123997.28390181
302593.493370285,4123998.92501141
302592.311568817,4124000.53841259
302590.90137098,4124001.95663051
302589.437810322,4124003.30798274
302587.740945771,4124004.36659064
302585.944478504,4124005.24035629
302584.127064088,4124006.07522441
302582.168077189,4124006.41399198
302580.1837632,4124006.66398797
302578.199455957,4124006.91403749
302577.701,4124006.977
302575.700964828,4124006.97201526
302573.701021292,4124006.95866918
302571.701023521,4124006.95999365
302569.701024758,4124006.95988302
302567.70103501197,4124006.95847918
302565.70108316303,4124006.94692288
302563.70110194,4124006.94258971
302561.70114801,4124006.93147891
302559.701196194,4124006.91991519
302557.70121530397,4124006.91458203
302555.701261342,4124006.90347867
302553.701376566,4124006.91700658
302551.701589385,4124006.93324868
302549.70427658,4124007.01285268
302547.71115720196,4124007.1695852997
302545.732713467,4124007.45530452
302543.788570323,4124007.92108233
302541.927602428,4124008.64948164
302540.20152038697,4124009.65574099
302538.690999577,4124010.96016834
302537.437896455,4124012.51424362
302536.437571607,4124014.24405425
302535.699168753,4124016.09936722
302535.320761376,4124018.06004901
302535.111979372,4124020.0484512
302535.01870597,4124022.04619942
302534.985929446,4124024.04591729
302534.959450945,4124026.04567525
302534.950784381,4124028.04565614
302534.94118311,4124030.04563231
302534.942620981,4124032.04561637
302534.953268925,4124034.04558802
302534.96396076697,4124036.0455592996
302534.976426122,4124038.04550577
302535.026839764,4124040.04486987
302535.034,4124040.336
302535.084005039,4124042.33537126
302535.153134977,4124044.33396632
302535.21711127803,4124046.33253822
302535.250133058,4124048.33174577
302535.280309084,4124050.33126109
302535.31411218,4124052.33071779
302535.312220281,4124054.33070555
302535.305306971,4124056.33068735
302535.304903766,4124058.330686
302535.292568398,4124060.33061783
302535.282438731,4124062.33058681
302535.267210374,4124064.33052073
302535.262530592,4124066.3304934
302535.248680643,4124068.33044104
302535.223348452,4124070.33026084
302535.212307775,4124072.33022603
302535.202779332,4124074.33020194
302535.193090696,4124076.33017673
302535.173531994,4124078.33006002
302535.17127864,4124080.32998524
302535.151933845,4124082.32986519
302535.144958555,4124084.32985055
302535.131255923,4124086.32978743
302535.12812571303,4124088.32977458
302535.121172857,4124090.32976235
302535.107460069,4124092.32971187
302535.092494428,4124094.32965155
302535.07997712103,4124096.32960888
302535.067607651,4124098.32956662
302535.056001976,4124100.32953134
302535.042958555,4124102.32948099
302535.045293546,4124104.32947861
302535.044,4124105.559
302535.032081471,4124107.55896249
302535.015,4124109.35
302535.006958618,4124111.3499818
302534.998957348,4124113.34996579
302534.990955063,4124115.34994978
302534.98362178,4124117.34993634
302534.975954859,4124119.34992162
302534.967954923,4124121.34990562
302534.959952318,4124123.34988961
302534.95195105,4124125.3498736
302534.943951735,4124127.3498576004
302534.936618451,4124129.34984416
302534.928949892,4124131.34982943
302534.920947291,4124133.34981342
302534.91294735397,4124135.34979742
302534.904947418,4124137.34978142
302534.896950907,4124139.34976543
302534.896,4124139.709
302534.880868445,4124141.70893681
302534.863294727,4124143.70885922
302534.846480796,4124145.7087851
302534.835,4124147.0330000003
